definition,definition_title,year,return_period_threshold_years,moran_i,moran_p_perm,n_stations
annual_tmean,Annual precipitation + annual mean temperature,1991,5.0,0.24254997608134568,0.008,113
annual_tmean,Annual precipitation + annual mean temperature,1991,10.0,-0.022177877959199926,0.236,113
annual_tmean,Annual precipitation + annual mean temperature,1991,20.0,-0.013748312530870326,0.064,113
annual_tmean,Annual precipitation + annual mean temperature,1992,5.0,-0.009410766333856437,0.958,122
annual_tmean,Annual precipitation + annual mean temperature,1992,10.0,-0.004557739754301359,0.89,122
annual_tmean,Annual precipitation + annual mean temperature,1992,20.0,,,122
annual_tmean,Annual precipitation + annual mean temperature,1993,5.0,0.07709638291968957,0.088,120
annual_tmean,Annual precipitation + annual mean temperature,1993,10.0,-0.004148148851484547,0.94,120
annual_tmean,Annual precipitation + annual mean temperature,1993,20.0,,,120
annual_tmean,Annual precipitation + annual mean temperature,1994,5.0,0.1457561962322547,0.014,122
annual_tmean,Annual precipitation + annual mean temperature,1994,10.0,0.1334080375206436,0.02,122
annual_tmean,Annual precipitation + annual mean temperature,1994,20.0,-0.00895203848754653,0.402,122
annual_tmean,Annual precipitation + annual mean temperature,1995,5.0,0.4400819461043479,0.002,123
annual_tmean,Annual precipitation + annual mean temperature,1995,10.0,0.24168570019429564,0.002,123
annual_tmean,Annual precipitation + annual mean temperature,1995,20.0,0.034791268785056666,0.154,123
annual_tmean,Annual precipitation + annual mean temperature,1996,5.0,0.25124914731913095,0.004,123
annual_tmean,Annual precipitation + annual mean temperature,1996,10.0,-0.00604698386529175,0.992,123
annual_tmean,Annual precipitation + annual mean temperature,1996,20.0,-0.00604698386529175,0.99,123
annual_tmean,Annual precipitation + annual mean temperature,1997,5.0,0.3149144976188382,0.002,123
annual_tmean,Annual precipitation + annual mean temperature,1997,10.0,0.25259057287422065,0.004,123
annual_tmean,Annual precipitation + annual mean temperature,1997,20.0,,,123
annual_tmean,Annual precipitation + annual mean temperature,1998,5.0,0.015554729944541212,0.814,123
annual_tmean,Annual precipitation + annual mean temperature,1998,10.0,0.16677117847343892,0.012,123
annual_tmean,Annual precipitation + annual mean temperature,1998,20.0,3.497885041723728e-18,0.998,123
