doi,status,registered_title,registered_authors,registered_journal,dates,volume,page,title_similarity,manuscript_reference,error
10.1029/2005JD006290,DOI_METADATA_FOUND,Global observed changes in daily climate extremes of temperature and precipitation,Alexander; Zhang; Peterson; Caesar; Gleason; Klein Tank; Haylock; Collins; Trewin; Rahimzadeh; Tagipour; Rupa Kumar; Revadekar; Griffiths; Vincent; Stephenson; Burn; Aguilar; Brunet; Taylor; New; Zhai; Rusticucci; Vazquez‐Aguirre,Journal of Geophysical Research: Atmospheres,"{""published-print"": [[2006, 3, 16]], ""published-online"": [[2006, 3, 15]], ""issued"": [[2006, 3, 15]], ""published"": [[2006, 3, 15]]}",111,2005JD006290,1.0,"Alexander LV, Zhang X, Peterson TC, Caesar J, Gleason B, Klein Tank AMG, Haylock M, Collins D, Trewin B, Rahimzadeh F, Tagipour A, Rupa Kumar K, Revadekar J, Griffiths G, Vincent L, Stephenson DB, Burn J, Aguilar E, Brunet M, Taylor M, New M, Zhai P, Rusticucci M, Vazquez-Aguirre JL (2006). Global observed changes in daily climate extremes of temperature and precipitation. *Journal of Geophysical Research: Atmospheres* 111:D05109. https://doi.org/10.1029/2005JD006290",
10.1002/joc.3370060607,DOI_METADATA_FOUND,A homogeneity test applied to precipitation data,Alexandersson,Journal of Climatology,"{""published-print"": [[1986, 1]], ""published-online"": [[2007, 1, 10]], ""issued"": [[1986, 1]], ""published"": [[1986, 1]]}",6,661-675,1.0,Alexandersson H (1986). A homogeneity test applied to precipitation data. *Journal of Climatology* 6:661–675. https://doi.org/10.1002/joc.3370060607,
10.1126/sciadv.aaz4571,DOI_METADATA_FOUND,A century of observations reveals increasing likelihood of continental-scale compound dry-hot extremes,Alizadeh; Adamowski; Nikoo; AghaKouchak; Dennison; Sadegh,Science Advances,"{""published-print"": [[2020, 9, 25]], ""issued"": [[2020, 9, 25]], ""published"": [[2020, 9, 25]]}",6,eaaz4571,1.0,"Alizadeh MR, Adamowski J, Nikoo MR, AghaKouchak A, Dennison P, Sadegh M (2020). A century of observations reveals increasing likelihood of continental-scale compound dry-hot extremes. *Science Advances* 6:eaaz4571. https://doi.org/10.1126/sciadv.aaz4571",
10.5194/nhess-11-3227-2011,DOI_METADATA_FOUND,Summarising changes in air temperature over Central Europe by quantile regression and clustering,Barbosa; Scotto; Alonso,Natural Hazards and Earth System Sciences,"{""published-online"": [[2011, 12, 9]], ""issued"": [[2011, 12, 9]], ""published"": [[2011, 12, 9]]}",11,3227-3233,1.0,"Barbosa SM, Scotto MG, Alonso AM (2011). Summarising changes in air temperature over Central Europe by quantile regression and clustering. *Natural Hazards and Earth System Sciences* 11:3227–3233. https://doi.org/10.5194/nhess-11-3227-2011",
10.1038/s41597-023-02549-6,DOI_METADATA_FOUND,High-resolution (1 km) Köppen-Geiger maps for 1901–2099 based on constrained CMIP6 projections,Beck; McVicar; Vergopolan; Berg; Lutsko; Dufour; Zeng; Jiang; van Dijk; Miralles,Scientific Data,"{""published-online"": [[2023, 10, 23]], ""issued"": [[2023, 10, 23]], ""published"": [[2023, 10, 23]]}",10,724,1.0,"Beck HE, McVicar TR, Vergopolan N, Berg A, Lutsko NJ, Dufour A, Zeng Z, Jiang X, van Dijk AIJM, Miralles DG (2023). High-resolution (1 km) Köppen-Geiger maps for 1901–2099 based on constrained CMIP6 projections. *Scientific Data* 10:724. https://doi.org/10.1038/s41597-023-02549-6",
10.1038/sdata.2018.214,DOI_METADATA_FOUND,Present and future Köppen-Geiger climate classification maps at 1-km resolution,Beck; Zimmermann; McVicar; Vergopolan; Berg; Wood,Scientific Data,"{""published-online"": [[2018, 10, 30]], ""issued"": [[2018, 10, 30]], ""published"": [[2018, 10, 30]]}",5,180214,1.0,"Beck HE, Zimmermann NE, McVicar TR, Vergopolan N, Berg A, Wood EF (2018). Present and future Köppen–Geiger climate classification maps at 1-km resolution. *Scientific Data* 5:180214. https://doi.org/10.1038/sdata.2018.214",
10.1111/j.2517-6161.1995.tb02031.x,DOI_METADATA_FOUND,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,Benjamini; Hochberg,Journal of the Royal Statistical Society Series B: Statistical Methodology,"{""published-print"": [[1995, 1, 1]], ""published-online"": [[2018, 12, 5]], ""issued"": [[1995, 1, 1]], ""published-other"": [[1995, 1]], ""published"": [[1995, 1, 1]]}",57,289-300,1.0,"Benjamini Y, Hochberg Y (1995). Controlling the false discovery rate: a practical and powerful approach to multiple testing. *Journal of the Royal Statistical Society: Series B* 57:289–300. https://doi.org/10.1111/j.2517-6161.1995.tb02031.x",
10.1038/s41558-022-01309-5,DOI_METADATA_FOUND,Precipitation trends determine future occurrences of compound hot–dry events,Bevacqua; Zappa; Lehner; Zscheischler,Nature Climate Change,"{""published-print"": [[2022, 4]], ""published-online"": [[2022, 3, 14]], ""issued"": [[2022, 3, 14]], ""published"": [[2022, 3, 14]]}",12,350-355,1.0,"Bevacqua E, Zappa G, Lehner F, Zscheischler J (2022). Precipitation trends determine future occurrences of compound hot–dry events. *Nature Climate Change* 12:350–355. https://doi.org/10.1038/s41558-022-01309-5",
10.1016/0022-1694(82)90066-X,DOI_METADATA_FOUND,Some methods for testing the homogeneity of rainfall records,Buishand,Journal of Hydrology,"{""published-print"": [[1982, 8]], ""issued"": [[1982, 8]], ""published"": [[1982, 8]]}",58,11-27,1.0,Buishand TA (1982). Some methods for testing the homogeneity of rainfall records. *Journal of Hydrology* 58:11–27. https://doi.org/10.1016/0022-1694(82)90066-X,
10.1029/2019JD032263,DOI_METADATA_FOUND,Development of an Updated Global Land In Situ‐Based Data Set of Temperature and Precipitation Extremes: HadEX3,Dunn; Alexander; Donat; Zhang; Bador; Herold; Lippmann; Allan; Aguilar; Barry; Brunet; Caesar; Chagnaud; Cheng; Cinco; Durre; de Guzman; Htay; Wan Ibadullah; Bin Ibrahim; Khoshkam; Kruger; Kubota; Leng; Lim; Li‐Sha; Marengo; Mbatha; McGree; Menne; de los Milagros Skansi; Ngwenya; Nkrumah; Oonariya; Pabon‐Caicedo; Panthou; Pham; Rahimzadeh; Ramos; Salgado; Salinger; Sané; Sopaheluwakan; Srivastava; Sun; Timbal; Trachow; Trewin; van der Schrier; Vazquez‐Aguirre; Vasquez; Villarroel; Vincent; Vischel; Vose; Bin Hj Yussof,Journal of Geophysical Research: Atmospheres,"{""published-print"": [[2020, 8, 27]], ""published-online"": [[2020, 8, 19]], ""issued"": [[2020, 8, 19]], ""published"": [[2020, 8, 19]]}",125,e2019JD032263,1.0,"Dunn RJH, Alexander LV, Donat MG, Zhang X, Bador M, Herold N, Lippmann T, Allan R, Aguilar E, Barry AA, Brunet M, Caesar J, Chagnaud G, Cheng V, Cinco T, Durre I, de Guzman R, Htay TM, Wan Ibadullah WM, Bin Ibrahim MKI, Khoshkam M, Kruger A, Kubota H, Leng TW, Lim G, Li‐Sha L, Marengo J, Mbatha S, McGree S, Menne M, de los Milagros Skansi M, Ngwenya S, Nkrumah F, Oonariya C, Pabon‐Caicedo JD, Panthou G, Pham C, Rahimzadeh F, Ramos A, Salgado E, Salinger J, Sané Y, Sopaheluwakan A, Srivastava A, Sun Y, Timbal B, Trachow N, Trewin B, van der Schrier G, Vazquez‐Aguirre J, Vasquez R, Villarroel C, Vincent L, Vischel T, Vose R, Bin Hj Yussof MN (2020). Development of an updated global land in situ-based dataset of temperature and precipitation extremes: HadEX3. *Journal of Geophysical Research: Atmospheres* 125:e2019JD032263. https://doi.org/10.1029/2019JD032263",
