definition,scenario,component,estimate_pp,ci_low_pp,ci_high_pp,family_ci_low_pp,family_ci_high_pp,n_stations,joint_early_pct,joint_late_pct,zero_precip_threshold_stations,dry_quantile,hot_quantile,coverage,block_length,refit_thresholds,inclusive,exclude_zero_threshold,common_network
annual,primary,joint_change,20.644796380090497,9.219457013574658,40.83710407239817,5.82579185520362,47.045390271493154,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,,
annual,primary,dry_marginal,8.183058291189779,4.1787829385147734,18.6135879691243,3.0321004957412816,22.56080316742071,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,,
annual,primary,hot_marginal,12.48170082512643,6.158504125632153,23.44473649188181,4.2414472151982965,26.973763558024892,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,,
annual,primary,excess_joint,-0.019962736225711167,-4.349048442906574,3.4171213734362538,-5.958731201756721,4.70900153047642,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,,
warm_season,primary,joint_change,12.849800114220447,7.195888063963445,27.18446601941748,5.311250713877784,32.609937178755004,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,True,False,,
warm_season,primary,dry_marginal,2.885745960291598,0.5307051432794708,10.42933449793395,-0.3147466153794471,12.884927100480374,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,True,False,,
warm_season,primary,hot_marginal,9.906943931198976,5.791228541673667,16.28892733564014,4.485304615849766,18.852000537507916,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,True,False,,
warm_season,primary,excess_joint,0.057110222729868904,-1.7872140289582412,2.3652030772331787,-2.468862330768972,3.5267662176235257,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,True,False,,
annual,tails_20_80,joint_change,17.760180995475114,5.882352941176469,35.01131221719458,2.3540016968325785,40.761807126696624,104,9.16289592760181,26.923076923076923,0,0.2,0.8,0.8,4,True,False,,
annual,tails_20_80,dry_marginal,6.569403779611393,2.6000632153313807,15.190644130955555,1.3687886778014373,18.448843408969875,104,9.16289592760181,26.923076923076923,0,0.2,0.8,0.8,4,True,False,,
annual,tails_20_80,hot_marginal,10.628493478839498,4.695984162895927,20.611358796912427,2.7651508850146387,23.82536972651051,104,9.16289592760181,26.923076923076923,0,0.2,0.8,0.8,4,True,False,,
annual,tails_20_80,excess_joint,0.562283737024222,-4.312450093159437,3.5600212935853057,-5.868732532605801,5.008297012243762,104,9.16289592760181,26.923076923076923,0,0.2,0.8,0.8,4,True,False,,
warm_season,tails_20_80,joint_change,10.965162764134782,5.25128498001142,23.7007424328955,3.712164477441461,29.169760137064483,103,5.539691604797258,16.50485436893204,28,0.2,0.8,0.8,4,True,False,,
warm_season,tails_20_80,dry_marginal,1.7720966170591597,-0.3667652097960829,8.616420868747275,-1.0318263513286523,11.113460375583694,103,5.539691604797258,16.50485436893204,28,0.2,0.8,0.8,4,True,False,,
warm_season,tails_20_80,hot_marginal,8.894077333960425,4.837067893976552,14.668004837571813,3.7157548627674943,17.24913494809687,103,5.539691604797258,16.50485436893204,28,0.2,0.8,0.8,4,True,False,,
warm_season,tails_20_80,excess_joint,0.298988813115195,-1.7877179426882115,2.2980145799039233,-2.404550340981624,3.5600455202069146,103,5.539691604797258,16.50485436893204,28,0.2,0.8,0.8,4,True,False,,
annual,tails_30_70,joint_change,20.361990950226243,8.3710407239819,42.194570135746616,5.090497737556562,48.80691459276001,104,13.461538461538462,33.8235294117647,0,0.3,0.7,0.8,4,True,False,,
annual,tails_30_70,dry_marginal,8.617247804099016,3.796995608198031,19.88995541655576,2.4794134282672347,23.82829135613508,104,13.461538461538462,33.8235294117647,0,0.3,0.7,0.8,4,True,False,,
annual,tails_30_70,hot_marginal,13.52475379291988,6.255572930529676,25.5107133351078,4.028168252595155,29.250222501330736,104,13.461538461538462,33.8235294117647,0,0.3,0.7,0.8,4,True,False,,
annual,tails_30_70,excess_joint,-1.7800106467926529,-5.716163162097416,2.4421080649454368,-7.125282805429864,3.7747038860793127,104,13.461538461538462,33.8235294117647,0,0.3,0.7,0.8,4,True,False,,
warm_season,tails_30_70,joint_change,14.448886350656768,7.367218732153052,29.81153626499144,4.810822387207309,35.29411764705882,103,8.166761850371216,22.615648201027984,24,0.3,0.7,0.8,4,True,False,,
warm_season,tails_30_70,dry_marginal,2.826956025128498,-0.09750730674908428,10.990442436254913,-1.1611747068901803,13.775405650552623,103,8.166761850371216,22.615648201027984,24,0.3,0.7,0.8,4,True,False,,
warm_season,tails_30_70,hot_marginal,11.967951086773946,6.971730439748713,18.678906171263485,5.46184743171969,21.28285937447504,103,8.166761850371216,22.615648201027984,24,0.3,0.7,0.8,4,True,False,,
warm_season,tails_30_70,excess_joint,-0.346020761245674,-2.4560755198709967,2.328417374945412,-3.174026606644942,3.5493163570396673,103,8.166761850371216,22.615648201027984,24,0.3,0.7,0.8,4,True,False,,
annual,coverage_90,joint_change,22.093023255813957,9.78112175102599,42.61627906976745,6.019151846785226,48.899196306429374,86,9.23392612859097,31.326949384404923,0,0.25,0.75,0.9,4,True,False,,
annual,coverage_90,dry_marginal,9.217832139695822,4.751649633861754,19.85314235133178,3.4641305222499392,23.707212621710795,86,9.23392612859097,31.326949384404923,0,0.25,0.75,0.9,4,True,False,,
annual,coverage_90,hot_marginal,12.88726160778949,6.464854751750221,24.032449505109852,4.307820169791584,27.450410396716823,86,9.23392612859097,31.326949384404923,0,0.25,0.75,0.9,4,True,False,,
annual,coverage_90,excess_joint,-0.012070491671359884,-4.225275609559826,3.4648346342641054,-5.699007202060029,4.857140701697891,86,9.23392612859097,31.326949384404923,0,0.25,0.75,0.9,4,True,False,,
warm_season,coverage_90,joint_change,12.92952824694234,7.3383808969132165,26.790914385556203,5.416423995340709,32.229542807221875,101,5.64938846825859,18.57891671520093,27,0.25,0.75,0.9,4,True,False,,
warm_season,coverage_90,dry_marginal,2.860666689506321,0.5171468703963823,10.19133920312447,-0.3209792216245847,12.642733564013827,101,5.64938846825859,18.57891671520093,27,0.25,0.75,0.9,4,True,False,,
warm_season,coverage_90,hot_marginal,10.034602076124566,5.905221144951867,16.193000787968064,4.540441176470589,18.7215325122477,101,5.64938846825859,18.57891671520093,27,0.25,0.75,0.9,4,True,False,,
warm_season,coverage_90,excess_joint,0.03425948131145323,-1.7751550241529335,2.388399739627945,-2.442701017506594,3.5313388605296487,101,5.64938846825859,18.57891671520093,27,0.25,0.75,0.9,4,True,False,,
annual,block_2,joint_change,20.644796380090497,8.710407239819,40.21776018099551,4.726739253393664,47.50070701357435,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,2,True,False,,
annual,block_2,dry_marginal,8.183058291189779,3.560021293585308,18.760813148788927,1.4853211505190311,23.40300189645991,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,2,True,False,,
annual,block_2,hot_marginal,12.48170082512643,6.4303300505722625,22.51472251796647,4.535970355336706,26.360481268299164,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,2,True,False,,
annual,block_2,excess_joint,-0.019962736225711167,-4.744809688581316,3.6731434655310085,-6.457342128027681,5.337973283204684,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,2,True,False,,
warm_season,block_2,joint_change,12.849800114220447,7.538549400342658,25.985151342090234,5.711022272986863,30.03997715591092,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,2,True,False,,
warm_season,block_2,dry_marginal,2.885745960291598,0.7420969530016462,9.850421607820744,0.09006408102932766,12.407636812577687,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,2,True,False,,
warm_season,block_2,hot_marginal,9.906943931198976,5.997581214096149,15.72899519602244,4.754048106964089,17.92154483152474,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,2,True,False,,
warm_season,block_2,excess_joint,0.057110222729868904,-2.05596801827527,2.596835421775793,-2.914385057278194,3.7160068196324754,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,2,True,False,,
annual,block_6,joint_change,20.644796380090497,10.067873303167419,40.78054298642534,6.787330316742081,45.64479638009049,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,6,True,False,,
annual,block_6,dry_marginal,8.183058291189779,4.694570135746608,18.474098349747145,3.66395228906042,21.392380057226475,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,6,True,False,,
annual,block_6,hot_marginal,12.48170082512643,6.065261511844556,23.246772690976833,3.92607757186585,26.189810270827707,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,6,True,False,,
annual,block_6,excess_joint,-0.019962736225711167,-3.2842028214000525,2.9546513175405913,-4.221016602342293,4.238920681394718,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,6,True,False,,
warm_season,block_6,joint_change,12.849800114220447,6.796116504854366,27.47287264420333,5.003926327812678,32.15305539691605,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,6,True,False,,
warm_season,block_6,dry_marginal,2.885745960291598,0.3709644908791615,10.48316928141902,-0.34458250747472013,13.009551264823427,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,6,True,False,,
warm_season,block_6,hot_marginal,9.906943931198976,5.539607619175595,16.53542513521685,4.332366798804046,18.61689328786911,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,6,True,False,,
warm_season,block_6,excess_joint,0.057110222729868904,-1.481674337353445,2.5029394967581537,-2.1821984076326126,3.6987477743809882,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,6,True,False,,
annual,fixed_threshold_uncertainty,joint_change,20.644796380090497,6.8947963800904954,33.54355203619912,1.009968891402715,37.55656108597284,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,False,False,,
annual,fixed_threshold_uncertainty,dry_marginal,8.183058291189779,3.078919350545648,13.124085041256325,0.9903596619643332,15.301853207346248,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,False,False,,
annual,fixed_threshold_uncertainty,hot_marginal,12.48170082512643,4.774920149055097,19.42266103273889,1.2239028812882615,21.84472318339095,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,False,False,,
annual,fixed_threshold_uncertainty,excess_joint,-0.019962736225711167,-3.8694437050838415,4.515404578120843,-5.103827022890605,5.6749692241149745,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,False,False,,
warm_season,fixed_threshold_uncertainty,joint_change,12.849800114220447,6.1679040548258115,19.588806396344953,3.1763992004568813,22.2023129640205,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,False,False,,
warm_season,fixed_threshold_uncertainty,dry_marginal,2.885745960291598,-0.9996808546376865,6.867420297645048,-2.4573458023986294,8.2058256626465,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,False,False,,
warm_season,fixed_threshold_uncertainty,hot_marginal,9.906943931198976,6.254997144488864,13.635905532972755,5.033688732488997,14.97863615748983,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,False,False,,
warm_season,fixed_threshold_uncertainty,excess_joint,0.057110222729868904,-1.7939328786911672,2.05630396076192,-2.431110793832094,2.7750529109416324,103,5.539691604797258,18.389491719017702,28,0.25,0.75,0.8,4,False,False,,
annual,inclusive_ties,joint_change,16.346153846153847,0.6193438914027145,33.37104072398189,-4.998939479638008,39.00028280542975,104,13.461538461538462,29.807692307692307,0,0.25,0.75,0.8,4,True,True,,
annual,inclusive_ties,dry_marginal,6.088634548842162,-0.056644264040458435,14.555662762842697,-2.143873103540058,17.3776450625499,104,13.461538461538462,29.807692307692307,0,0.25,0.75,0.8,4,True,True,,
annual,inclusive_ties,hot_marginal,11.461937716262977,3.223482832046846,21.732765504391804,0.6665786365451154,25.038365883683728,104,13.461538461538462,29.807692307692307,0,0.25,0.75,0.8,4,True,True,,
annual,inclusive_ties,excess_joint,-1.2044184189512899,-5.895827788128828,2.016402714932129,-7.860888840830452,3.6812325326057875,104,13.461538461538462,29.807692307692307,0,0.25,0.75,0.8,4,True,True,,
warm_season,inclusive_ties,joint_change,17.36150770988007,5.539691604797258,30.097087378640772,1.5908766419189038,34.17368646487718,103,12.906910336950315,30.268418046830387,28,0.25,0.75,0.8,4,True,True,,
warm_season,inclusive_ties,dry_marginal,0.3174656498807403,-6.450095743608693,7.059915342493366,-8.401218211442199,9.533617344710496,103,12.906910336950315,30.268418046830387,28,0.25,0.75,0.8,4,True,True,,
warm_season,inclusive_ties,hot_marginal,16.939899889138974,10.763933214633655,23.992172540061137,8.342018846373504,26.071478062955578,103,12.906910336950315,30.268418046830387,28,0.25,0.75,0.8,4,True,True,,
warm_season,inclusive_ties,excess_joint,0.10414217086034971,-3.252259213222696,3.1078039439647944,-4.5688178183894905,4.343106460174001,103,12.906910336950315,30.268418046830387,28,0.25,0.75,0.8,4,True,True,,
annual,positive_dry_threshold,joint_change,20.644796380090497,9.219457013574658,40.83710407239817,5.82579185520362,47.045390271493154,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,True,
annual,positive_dry_threshold,dry_marginal,8.183058291189779,4.1787829385147734,18.6135879691243,3.0321004957412816,22.56080316742071,104,9.16289592760181,29.807692307692307,0,0.25,0.75,0.8,4,True,False,True,
