station_id,warm_days_valid_years,warm_days_complete,warm_nights_valid_years,warm_nights_complete,cool_days_valid_years,cool_days_complete,cool_nights_valid_years,cool_nights_complete,common_complete
19996,31,False,32,False,31,False,32,False,False
40700,34,True,34,True,34,True,34,True,True
40701,34,True,34,True,34,True,34,True,True
40702,34,True,34,True,34,True,34,True,True
40703,34,True,34,True,34,True,34,True,True
40704,34,True,34,True,34,True,34,True,True
40706,34,True,34,True,34,True,34,True,True
40708,34,True,34,True,34,True,34,True,True
40709,34,True,34,True,34,True,34,True,True
40710,34,True,34,True,34,True,34,True,True
40712,34,True,34,True,34,True,34,True,True
40713,34,True,34,True,34,True,34,True,True
40716,34,True,34,True,34,True,34,True,True
40717,34,True,34,True,34,True,34,True,True
40718,34,True,34,True,34,True,34,True,True
40719,34,True,34,True,34,True,34,True,True
40723,34,True,34,True,34,True,34,True,True
40724,34,True,34,True,34,True,34,True,True
40726,34,True,34,True,34,True,34,True,True
40727,34,True,34,True,34,True,34,True,True
40728,34,True,34,True,34,True,34,True,True
40729,34,True,34,True,34,True,34,True,True
40730,34,True,34,True,34,True,34,True,True
40731,34,True,34,True,34,True,34,True,True
40732,34,True,34,True,34,True,34,True,True
40734,34,True,34,True,34,True,34,True,True
40736,34,True,34,True,34,True,34,True,True
40737,34,True,34,True,34,True,34,True,True
40738,34,True,34,True,34,True,34,True,True
40739,34,True,34,True,34,True,34,True,True
40740,34,True,34,True,34,True,34,True,True
40741,34,True,34,True,34,True,34,True,True
40742,33,False,33,False,33,False,33,False,False
40743,34,True,34,True,34,True,34,True,True
40744,32,False,32,False,32,False,32,False,False
40745,34,True,34,True,34,True,34,True,True
40746,34,True,34,True,34,True,34,True,True
40747,34,True,34,True,34,True,34,True,True
40748,34,True,34,True,34,True,34,True,True
40749,34,True,34,True,34,True,34,True,True
40751,34,True,34,True,34,True,34,True,True
40752,34,True,34,True,34,True,34,True,True
40754,34,True,34,True,34,True,34,True,True
40755,34,True,34,True,34,True,34,True,True
40757,34,True,34,True,34,True,34,True,True
40758,34,True,34,True,34,True,34,True,True
40762,34,True,34,True,34,True,34,True,True
40763,34,True,34,True,34,True,34,True,True
40764,34,True,34,True,34,True,34,True,True
40765,34,True,34,True,34,True,34,True,True
40766,34,True,34,True,34,True,34,True,True
40768,34,True,34,True,34,True,34,True,True
40769,34,True,34,True,34,True,34,True,True
40770,34,True,34,True,34,True,34,True,True
40771,34,True,34,True,34,True,34,True,True
40772,34,True,34,True,34,True,34,True,True
40774,34,True,34,True,34,True,34,True,True
40778,34,True,34,True,34,True,34,True,True
40779,34,True,34,True,34,True,34,True,True
40780,34,True,34,True,34,True,34,True,True
40782,34,True,34,True,34,True,34,True,True
40783,34,True,34,True,34,True,34,True,True
40785,34,True,34,True,34,True,34,True,True
40787,33,False,33,False,33,False,33,False,False
40789,34,True,34,True,34,True,34,True,True
40790,33,False,33,False,33,False,33,False,False
40791,34,True,34,True,34,True,34,True,True
40792,34,True,34,True,34,True,34,True,True
40793,34,True,34,True,34,True,34,True,True
40794,34,True,34,True,34,True,34,True,True
40796,34,True,34,True,34,True,34,True,True
40797,34,True,34,True,34,True,34,True,True
40798,34,True,34,True,34,True,34,True,True
40799,33,False,33,False,33,False,33,False,False
40800,33,False,33,False,33,False,33,False,False
40801,33,False,33,False,33,False,33,False,False
40802,34,True,34,True,34,True,34,True,True
40803,33,False,33,False,33,False,33,False,False
40809,34,True,34,True,34,True,34,True,True
40810,34,True,34,True,34,True,34,True,True
40811,34,True,34,True,34,True,34,True,True
40812,34,True,34,True,34,True,34,True,True
40813,34,True,34,True,34,True,34,True,True
40818,34,True,34,True,34,True,34,True,True
40821,34,True,34,True,34,True,34,True,True
40827,34,True,34,True,34,True,34,True,True
40829,34,True,34,True,34,True,34,True,True
40831,34,True,34,True,34,True,34,True,True
40832,34,True,34,True,34,True,34,True,True
40833,34,True,33,False,34,True,33,False,False
40835,32,False,32,False,32,False,32,False,False
40836,33,False,33,False,33,False,33,False,False
40839,34,True,34,True,34,True,34,True,True
40841,34,True,34,True,34,True,34,True,True
40844,34,True,34,True,34,True,34,True,True
40847,34,True,34,True,34,True,34,True,True
40848,34,True,34,True,34,True,34,True,True
40849,34,True,34,True,34,True,34,True,True
40851,34,True,34,True,34,True,34,True,True
40853,34,True,34,True,34,True,34,True,True
40854,34,True,34,True,34,True,34,True,True
40856,34,True,34,True,34,True,34,True,True
40857,34,True,34,True,34,True,34,True,True
40858,34,True,34,True,34,True,34,True,True
40859,34,True,34,True,34,True,34,True,True
40870,34,True,34,True,34,True,34,True,True
40873,34,True,34,True,34,True,34,True,True
40875,34,True,34,True,34,True,34,True,True
40876,34,True,34,True,34,True,34,True,True
40877,34,True,34,True,34,True,34,True,True
40878,34,True,34,True,34,True,34,True,True
40879,34,True,34,True,34,True,34,True,True
40882,34,True,34,True,34,True,34,True,True
40883,34,True,34,True,34,True,34,True,True
40889,34,True,34,True,34,True,34,True,True
40890,34,True,34,True,34,True,34,True,True
40893,34,True,34,True,34,True,34,True,True
40898,34,True,34,True,34,True,34,True,True
88187,33,False,33,False,33,False,33,False,False
99331,33,False,34,True,33,False,34,True,False
99407,34,True,34,True,34,True,34,True,True
99421,33,False,33,False,33,False,33,False,False
99459,34,True,34,True,34,True,34,True,True
99623,32,False,32,False,32,False,32,False,False
