definition,climate_regime,component,n_all,n_positive,n_zero,positive_weight,all_estimate_pp,positive_estimate_pp,reweighted_positive_pp,residual_pp
annual,All,joint_change,104,104,0,1.0,20.644796380090497,20.644796380090497,20.644796380090497,0.0
annual,All,dry_marginal,104,104,0,1.0,8.183058291189779,8.183058291189779,8.183058291189779,0.0
annual,All,hot_marginal,104,104,0,1.0,12.48170082512643,12.48170082512643,12.48170082512643,0.0
annual,All,excess_joint,104,104,0,1.0,-0.019962736225711167,-0.019962736225711167,-0.019962736225711167,0.0
annual,BWh_hot_desert,joint_change,28,28,0,1.0,20.588235294117645,20.588235294117645,20.588235294117645,0.0
annual,BWh_hot_desert,dry_marginal,28,28,0,1.0,7.433267424616907,7.433267424616907,7.433267424616907,0.0
annual,BWh_hot_desert,hot_marginal,28,28,0,1.0,12.673010380622832,12.673010380622832,12.673010380622832,0.0
annual,BWh_hot_desert,excess_joint,28,28,0,1.0,0.481957488877906,0.481957488877906,0.481957488877906,0.0
annual,BWk_cold_desert,joint_change,12,12,0,1.0,25.0,25.0,25.0,0.0
annual,BWk_cold_desert,dry_marginal,12,12,0,1.0,10.250865051903114,10.250865051903114,10.250865051903114,0.0
annual,BWk_cold_desert,hot_marginal,12,12,0,1.0,11.288927335640139,11.288927335640139,11.288927335640139,0.0
annual,BWk_cold_desert,excess_joint,12,12,0,1.0,3.4602076124567476,3.4602076124567476,3.4602076124567476,0.0
annual,BSh_hot_steppe,joint_change,7,7,0,1.0,36.134453781512605,36.134453781512605,36.134453781512605,0.0
annual,BSh_hot_steppe,dry_marginal,7,7,0,1.0,16.262975778546714,16.262975778546714,16.262975778546714,0.0
annual,BSh_hot_steppe,hot_marginal,7,7,0,1.0,19.031141868512105,19.031141868512105,19.031141868512105,0.0
annual,BSh_hot_steppe,excess_joint,7,7,0,1.0,0.8403361344537815,0.8403361344537815,0.8403361344537815,0.0
annual,BSk_cold_steppe,joint_change,33,33,0,1.0,17.112299465240643,17.112299465240643,17.112299465240643,0.0
annual,BSk_cold_steppe,dry_marginal,33,33,0,1.0,7.591485792177833,7.591485792177833,7.591485792177833,0.0
annual,BSk_cold_steppe,hot_marginal,33,33,0,1.0,11.03072244940757,11.03072244940757,11.03072244940757,0.0
annual,BSk_cold_steppe,excess_joint,33,33,0,1.0,-1.5099087763447618,-1.5099087763447618,-1.5099087763447618,0.0
annual,C_temperate,joint_change,15,15,0,1.0,16.862745098039216,16.862745098039216,16.862745098039216,0.0
annual,C_temperate,dry_marginal,15,15,0,1.0,5.38638985005767,5.38638985005767,5.38638985005767,0.0
annual,C_temperate,hot_marginal,15,15,0,1.0,12.583621683967705,12.583621683967705,12.583621683967705,0.0
annual,C_temperate,excess_joint,15,15,0,1.0,-1.107266435986159,-1.107266435986159,-1.107266435986159,0.0
annual,Dsa_cold_dry_summer,joint_change,9,9,0,1.0,22.22222222222222,22.22222222222222,22.22222222222222,0.0
annual,Dsa_cold_dry_summer,dry_marginal,9,9,0,1.0,8.304498269896193,8.304498269896193,8.304498269896193,0.0
annual,Dsa_cold_dry_summer,hot_marginal,9,9,0,1.0,13.533256439830833,13.533256439830833,13.533256439830833,0.0
annual,Dsa_cold_dry_summer,excess_joint,9,9,0,1.0,0.3844675124951946,0.3844675124951946,0.3844675124951946,0.0
warm_season,All,joint_change,103,75,28,0.7281553398058253,12.849800114220447,17.647058823529413,12.849800114220447,0.0
warm_season,All,dry_marginal,103,75,28,0.7281553398058253,2.885745960291598,3.9630911188004614,2.8857459602915982,-4.440892098500626e-16
warm_season,All,hot_marginal,103,75,28,0.7281553398058253,9.906943931198976,13.605536332179929,9.906943931198978,-1.7763568394002505e-15
warm_season,All,excess_joint,103,75,28,0.7281553398058253,0.057110222729868904,0.07843137254901988,0.05711022272986885,5.551115123125783e-17
warm_season,BWh_hot_desert,joint_change,26,9,17,0.34615384615384615,5.203619909502262,15.03267973856209,5.203619909502262,0.0
warm_season,BWh_hot_desert,dry_marginal,26,9,17,0.34615384615384615,1.869842959808358,5.4017685505574775,1.8698429598083575,4.440892098500626e-16
warm_season,BWh_hot_desert,hot_marginal,26,9,17,0.34615384615384615,3.8528080915624163,11.130334486735869,3.852808091562416,4.440892098500626e-16
warm_season,BWh_hot_desert,excess_joint,26,9,17,0.34615384615384615,-0.5190311418685123,-1.4994232987312577,-0.5190311418685123,0.0
warm_season,BWk_cold_desert,joint_change,13,11,2,0.8461538461538461,9.502262443438914,11.229946524064172,9.502262443438914,0.0
warm_season,BWk_cold_desert,dry_marginal,13,11,2,0.8461538461538461,1.0646792653713069,1.2582573136206354,1.0646792653713069,0.0
warm_season,BWk_cold_desert,hot_marginal,13,11,2,0.8461538461538461,8.544051104604737,10.097514941805597,8.544051104604737,0.0
warm_season,BWk_cold_desert,excess_joint,13,11,2,0.8461538461538461,-0.10646792653712941,-0.12582573136206204,-0.10646792653712941,0.0
warm_season,BSh_hot_steppe,joint_change,8,3,5,0.375,5.882352941176471,15.686274509803923,5.882352941176471,0.0
warm_season,BSh_hot_steppe,dry_marginal,8,3,5,0.375,1.081314878892734,2.8835063437139574,1.081314878892734,0.0
warm_season,BSh_hot_steppe,hot_marginal,8,3,5,0.375,5.060553633217992,13.494809688581313,5.060553633217992,0.0
warm_season,BSh_hot_steppe,excess_joint,8,3,5,0.375,-0.2595155709342557,-0.6920415224913485,-0.2595155709342557,0.0
warm_season,BSk_cold_steppe,joint_change,33,30,3,0.9090909090909091,16.22103386809269,17.843137254901958,16.22103386809269,0.0
warm_season,BSk_cold_steppe,dry_marginal,33,30,3,0.9090909090909091,2.7786515675789034,3.056516724336795,2.7786515675789047,-1.3322676295501878e-15
warm_season,BSk_cold_steppe,hot_marginal,33,30,3,0.9090909090909091,12.45674740484429,13.702422145328718,12.45674740484429,0.0
warm_season,BSk_cold_steppe,excess_joint,33,30,3,0.9090909090909091,0.9856348956694976,1.0841983852364474,0.9856348956694976,0.0
warm_season,C_temperate,joint_change,15,14,1,0.9333333333333333,20.78431372549019,22.268907563025206,20.784313725490193,-3.552713678800501e-15
warm_season,C_temperate,dry_marginal,15,14,1,0.9333333333333333,6.320645905420992,6.772120612951063,6.320645905420992,0.0
warm_season,C_temperate,hot_marginal,15,14,1,0.9333333333333333,14.74048442906574,15.793376173999008,14.74048442906574,0.0
warm_season,C_temperate,excess_joint,15,14,1,0.9333333333333333,-0.2768166089965387,-0.2965892239248629,-0.2768166089965387,0.0
warm_season,Dsa_cold_dry_summer,joint_change,8,8,0,1.0,21.323529411764703,21.323529411764703,21.323529411764703,0.0
warm_season,Dsa_cold_dry_summer,dry_marginal,8,8,0,1.0,4.95242214532872,4.95242214532872,4.95242214532872,0.0
warm_season,Dsa_cold_dry_summer,hot_marginal,8,8,0,1.0,17.063148788927332,17.063148788927332,17.063148788927332,0.0
warm_season,Dsa_cold_dry_summer,excess_joint,8,8,0,1.0,-0.6920415224913491,-0.6920415224913491,-0.6920415224913491,0.0
