definition,threshold_mode,climate_regime,contrast,n_stations,estimate_pp,ci_low_pp,ci_high_pp
annual,fixed,All,dry_tie_change,104,-1.979638009049774,-3.6792986425339356,-0.6221719457013576
annual,fixed,All,hot_tie_increment,104,-2.319004524886878,-4.3552036199095,-0.6221719457013576
annual,fixed,BWh_hot_desert,dry_tie_change,28,-1.6806722689075628,-3.361344537815127,-0.21008403361344538
annual,fixed,BWh_hot_desert,hot_tie_increment,28,-2.310924369747899,-5.042016806722688,-0.4201680672268907
annual,fixed,BWk_cold_desert,dry_tie_change,12,-3.431372549019608,-5.882352941176471,-0.9803921568627452
annual,fixed,BWk_cold_desert,hot_tie_increment,12,-2.4509803921568625,-4.901960784313725,-0.4901960784313723
annual,fixed,BSh_hot_steppe,dry_tie_change,7,-2.5210084033613462,-7.563025210084033,0.0
annual,fixed,BSh_hot_steppe,hot_tie_increment,7,-3.361344537815126,-6.722689075630254,0.0
annual,fixed,BSk_cold_steppe,dry_tie_change,33,-1.4260249554367201,-2.67379679144385,-0.35650623885918026
annual,fixed,BSk_cold_steppe,hot_tie_increment,33,-1.42602495543672,-2.67379679144385,-0.35650623885918
annual,fixed,C_temperate,dry_tie_change,15,-2.3529411764705883,-5.098039215686274,-0.3921568627450981
annual,fixed,C_temperate,hot_tie_increment,15,-2.7450980392156863,-5.490196078431372,-1.1764705882352937
annual,fixed,Dsa_cold_dry_summer,dry_tie_change,9,-1.9607843137254903,-4.575163398692811,0.0
annual,fixed,Dsa_cold_dry_summer,hot_tie_increment,9,-3.9215686274509807,-9.803921568627452,0.0
annual,refitted,All,dry_tie_change,104,-1.979638009049774,-4.468325791855202,-1.6402714932126687
annual,refitted,All,hot_tie_increment,104,-2.319004524886878,-7.864819004524882,-2.262443438914026
annual,refitted,BWh_hot_desert,dry_tie_change,28,-1.6806722689075628,-4.831932773109244,-1.0504201680672267
annual,refitted,BWh_hot_desert,hot_tie_increment,28,-2.310924369747899,-9.033613445378153,-2.310924369747899
annual,refitted,BWk_cold_desert,dry_tie_change,12,-3.431372549019608,-5.882352941176471,-0.49019607843137253
annual,refitted,BWk_cold_desert,hot_tie_increment,12,-2.4509803921568625,-9.803921568627452,-0.9803921568627446
annual,refitted,BSh_hot_steppe,dry_tie_change,7,-2.5210084033613462,-8.403361344537815,0.0
annual,refitted,BSh_hot_steppe,hot_tie_increment,7,-3.361344537815126,-10.08403361344538,0.0
annual,refitted,BSk_cold_steppe,dry_tie_change,33,-1.4260249554367201,-4.456327985739751,-0.8912655971479502
annual,refitted,BSk_cold_steppe,hot_tie_increment,33,-1.42602495543672,-8.19964349376114,-1.6042780748663108
annual,refitted,C_temperate,dry_tie_change,15,-2.3529411764705883,-6.274509803921569,-1.176470588235294
annual,refitted,C_temperate,hot_tie_increment,15,-2.7450980392156863,-9.411764705882353,-0.7843137254901957
annual,refitted,Dsa_cold_dry_summer,dry_tie_change,9,-1.9607843137254903,-5.882352941176472,0.0
annual,refitted,Dsa_cold_dry_summer,hot_tie_increment,9,-3.9215686274509807,-14.37908496732026,-0.6535947712418301
warm_season,fixed,All,dry_tie_change,103,6.796116504854367,3.2552826956025136,10.622501427755566
warm_season,fixed,All,hot_tie_increment,103,-2.2844089091947453,-3.655054254711592,-0.970873786407767
warm_season,fixed,BWh_hot_desert,dry_tie_change,26,17.42081447963801,7.918552036199096,27.601809954751136
warm_season,fixed,BWh_hot_desert,hot_tie_increment,26,-2.941176470588235,-5.4298642533936645,-0.6787330316742082
warm_season,fixed,BWk_cold_desert,dry_tie_change,13,0.45248868778280504,-1.809954751131222,2.7149321266968327
warm_season,fixed,BWk_cold_desert,hot_tie_increment,13,-2.262443438914027,-3.619909502262444,-0.9049773755656108
warm_season,fixed,BSh_hot_steppe,dry_tie_change,8,26.470588235294116,13.970588235294116,38.23529411764706
warm_season,fixed,BSh_hot_steppe,hot_tie_increment,8,-2.9411764705882337,-5.88235294117647,-0.7352941176470588
warm_season,fixed,BSk_cold_steppe,dry_tie_change,33,0.5347593582887695,-1.7825311942959003,2.6737967914438507
warm_season,fixed,BSk_cold_steppe,hot_tie_increment,33,-2.67379679144385,-4.634581105169342,-0.8912655971479502
warm_season,fixed,C_temperate,dry_tie_change,15,1.5686274509803908,-2.3529411764705874,5.098039215686274
warm_season,fixed,C_temperate,hot_tie_increment,15,-1.176470588235294,-2.7450980392156863,0.0
warm_season,fixed,Dsa_cold_dry_summer,dry_tie_change,8,-1.4705882352941178,-3.6764705882352944,0.0
warm_season,fixed,Dsa_cold_dry_summer,hot_tie_increment,8,0.0,0.0,0.0
warm_season,refitted,All,dry_tie_change,103,6.796116504854367,3.026841804683038,9.822958309537409
warm_season,refitted,All,hot_tie_increment,103,-2.2844089091947453,-8.509423186750421,-2.3415191319246134
warm_season,refitted,BWh_hot_desert,dry_tie_change,26,17.42081447963801,9.954751131221721,27.375565610859727
warm_season,refitted,BWh_hot_desert,hot_tie_increment,26,-2.941176470588235,-10.859728506787329,-2.262443438914027
warm_season,refitted,BWk_cold_desert,dry_tie_change,13,0.45248868778280504,-4.977375565610861,3.167420814479638
warm_season,refitted,BWk_cold_desert,hot_tie_increment,13,-2.262443438914027,-9.049773755656108,-1.3574660633484164
warm_season,refitted,BSh_hot_steppe,dry_tie_change,8,26.470588235294116,17.64705882352941,37.5
warm_season,refitted,BSh_hot_steppe,hot_tie_increment,8,-2.9411764705882337,-13.23529411764706,-1.4705882352941178
warm_season,refitted,BSk_cold_steppe,dry_tie_change,33,0.5347593582887695,-3.921568627450981,2.13903743315508
