definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,strict,fixed,All,all,104,0,joint_change,20.6447963800905,6.8947963800904954,33.54355203619912
annual,strict,fixed,All,all,104,0,dry_marginal,8.183058291189774,3.078919350545648,13.124085041256325
annual,strict,fixed,All,all,104,0,hot_marginal,12.481700825126431,4.774920149055097,19.42266103273889
annual,strict,fixed,All,all,104,0,excess_joint,-0.01996273622571111,-3.8694437050838415,4.515404578120843
annual,strict,fixed,All,positive,104,0,joint_change,20.6447963800905,6.8947963800904954,33.54355203619912
annual,strict,fixed,All,positive,104,0,dry_marginal,8.183058291189774,3.078919350545648,13.124085041256325
annual,strict,fixed,All,positive,104,0,hot_marginal,12.481700825126431,4.774920149055097,19.42266103273889
annual,strict,fixed,All,positive,104,0,excess_joint,-0.01996273622571111,-3.8694437050838415,4.515404578120843
annual,strict,fixed,BWh_hot_desert,all,28,0,joint_change,20.588235294117645,8.823529411764703,31.512605042016794
annual,strict,fixed,BWh_hot_desert,all,28,0,dry_marginal,7.433267424616907,1.5808823529411768,12.475593178447848
annual,strict,fixed,BWh_hot_desert,all,28,0,hot_marginal,12.673010380622836,6.080079090459713,18.556290163124082
annual,strict,fixed,BWh_hot_desert,all,28,0,excess_joint,0.481957488877906,-1.879016312407315,3.386060306475532
annual,strict,fixed,BWh_hot_desert,positive,28,0,joint_change,20.588235294117645,8.823529411764703,31.512605042016794
annual,strict,fixed,BWh_hot_desert,positive,28,0,dry_marginal,7.433267424616907,1.5808823529411768,12.475593178447848
annual,strict,fixed,BWh_hot_desert,positive,28,0,hot_marginal,12.673010380622836,6.080079090459713,18.556290163124082
annual,strict,fixed,BWh_hot_desert,positive,28,0,excess_joint,0.481957488877906,-1.879016312407315,3.386060306475532
annual,strict,fixed,BWk_cold_desert,all,12,0,joint_change,25.0,8.823529411764705,42.15686274509804
annual,strict,fixed,BWk_cold_desert,all,12,0,dry_marginal,10.250865051903114,3.632497116493656,18.15167243367935
annual,strict,fixed,BWk_cold_desert,all,12,0,hot_marginal,11.288927335640139,1.9175317185697809,20.91983852364475
