index_name,metric,n_stations,expected_direction_stations,emerged_stations,expected_direction_fraction,emergence_fraction,median_signal_to_noise
cool_days,0.10,124,121,49,0.9758064516129032,0.3951612903225806,1.593834179867389
cool_days,0.50,124,124,69,1.0,0.5564516129032258,2.0957234308771984
cool_days,0.90,124,124,34,1.0,0.27419354838709675,1.699828265379181
cool_days,Delta1,124,123,4,0.9919354838709677,0.03225806451612903,1.036067064024049
cool_nights,0.10,124,114,54,0.9193548387096774,0.43548387096774194,1.8795584454110943
cool_nights,0.50,124,114,68,0.9193548387096774,0.5483870967741935,2.1847078706419913
cool_nights,0.90,124,116,51,0.9354838709677419,0.4112903225806452,1.8344328767773144
cool_nights,Delta1,124,111,5,0.8951612903225806,0.04032258064516129,0.7762105811924014
warm_days,0.10,124,123,48,0.9919354838709677,0.3870967741935484,1.650469702489552
warm_days,0.50,124,122,99,0.9838709677419355,0.7983870967741935,3.080590936361804
warm_days,0.90,124,122,71,0.9838709677419355,0.5725806451612904,2.137918985991824
warm_days,Delta1,124,119,6,0.9596774193548387,0.04838709677419355,1.1888041368206426
warm_nights,0.10,124,118,66,0.9516129032258065,0.532258064516129,2.03761504106208
warm_nights,0.50,124,117,97,0.9435483870967742,0.782258064516129,3.282182595208644
warm_nights,0.90,124,117,86,0.9435483870967742,0.6935483870967742,2.9049239947801038
warm_nights,Delta1,124,112,12,0.9032258064516129,0.0967741935483871,1.0687432171330231
