index_name,feature_set,feature,status,reference_feature,abs_correlation_to_reference,screen_order
cool_days,baseline,slope_0.10,kept,,,1
cool_days,baseline,slope_0.50,kept,slope_0.10,0.5094498582727509,2
cool_days,baseline,slope_0.90,kept,slope_0.50,0.5544782859785897,3
cool_nights,baseline,slope_0.10,kept,,,1
cool_nights,baseline,slope_0.50,kept,slope_0.10,0.8221064176947736,2
cool_nights,baseline,slope_0.90,kept,slope_0.50,0.6974192052730098,3
warm_days,baseline,slope_0.10,kept,,,1
warm_days,baseline,slope_0.50,kept,slope_0.10,0.5565646072708814,2
warm_days,baseline,slope_0.90,kept,slope_0.50,0.6915859810090175,3
warm_nights,baseline,slope_0.10,kept,,,1
warm_nights,baseline,slope_0.50,kept,slope_0.10,0.7614039725899909,2
warm_nights,baseline,slope_0.90,kept,slope_0.50,0.8433517167953083,3
cool_days,sensitivity_rerun,slope_0.10,kept,,,1
cool_days,sensitivity_rerun,slope_0.50,kept,slope_0.10,0.5094498582727509,2
cool_days,sensitivity_rerun,slope_0.90,kept,slope_0.50,0.5544782859785897,3
cool_days,sensitivity_rerun,Delta1,kept,slope_0.90,0.8909805752384,4
cool_days,sensitivity_rerun,boot_mean_0.10,kept,slope_0.10,0.8882099013744127,5
cool_days,sensitivity_rerun,boot_mean_0.50,kept,slope_0.50,0.8882735197634424,6
cool_days,sensitivity_rerun,boot_mean_0.90,kept,slope_0.90,0.8561119781091119,7
cool_days,sensitivity_rerun,boot_sd_0.10,kept,boot_mean_0.90,0.37413937262991764,8
cool_days,sensitivity_rerun,boot_sd_0.50,kept,Delta1,0.4588413273721367,9
cool_days,sensitivity_rerun,boot_sd_0.90,kept,slope_0.90,0.5398917718801559,10
cool_nights,sensitivity_rerun,slope_0.10,kept,,,1
cool_nights,sensitivity_rerun,slope_0.50,kept,slope_0.10,0.8221064176947736,2
cool_nights,sensitivity_rerun,slope_0.90,kept,slope_0.50,0.6974192052730098,3
cool_nights,sensitivity_rerun,Delta1,kept,slope_0.90,0.7967177994675478,4
cool_nights,sensitivity_rerun,boot_mean_0.10,kept,slope_0.10,0.9493385516132754,5
cool_nights,sensitivity_rerun,boot_mean_0.50,dropped_high_correlation,slope_0.50,0.9738838037795218,6
cool_nights,sensitivity_rerun,boot_mean_0.90,kept,slope_0.90,0.8795436347939225,7
cool_nights,sensitivity_rerun,boot_sd_0.10,kept,boot_mean_0.10,0.2456758379098706,8
cool_nights,sensitivity_rerun,boot_sd_0.50,kept,boot_mean_0.10,0.5361048802005051,9
cool_nights,sensitivity_rerun,boot_sd_0.90,kept,boot_sd_0.50,0.6356774054778498,10
warm_days,sensitivity_rerun,slope_0.10,kept,,,1
warm_days,sensitivity_rerun,slope_0.50,kept,slope_0.10,0.5565646072708814,2
warm_days,sensitivity_rerun,slope_0.90,kept,slope_0.50,0.6915859810090175,3
warm_days,sensitivity_rerun,Delta1,dropped_high_correlation,slope_0.90,0.9559685866254434,4
warm_days,sensitivity_rerun,boot_mean_0.10,kept,slope_0.10,0.8172315502775422,5
warm_days,sensitivity_rerun,boot_mean_0.50,kept,slope_0.50,0.9382662662785202,6
warm_days,sensitivity_rerun,boot_mean_0.90,kept,slope_0.90,0.8845939605713261,7
warm_days,sensitivity_rerun,boot_sd_0.10,kept,slope_0.50,0.23379316139514322,8
warm_days,sensitivity_rerun,boot_sd_0.50,kept,boot_sd_0.10,0.2577920955748031,9
warm_days,sensitivity_rerun,boot_sd_0.90,kept,slope_0.90,0.4428880861059649,10
warm_nights,sensitivity_rerun,slope_0.10,kept,,,1
warm_nights,sensitivity_rerun,slope_0.50,kept,slope_0.10,0.7614039725899909,2
warm_nights,sensitivity_rerun,slope_0.90,kept,slope_0.50,0.8433517167953083,3
warm_nights,sensitivity_rerun,Delta1,kept,slope_0.90,0.9167932334078284,4
warm_nights,sensitivity_rerun,boot_mean_0.10,kept,slope_0.10,0.9216012093495557,5
warm_nights,sensitivity_rerun,boot_mean_0.50,dropped_high_correlation,slope_0.50,0.964892799736383,6
warm_nights,sensitivity_rerun,boot_mean_0.90,kept,slope_0.90,0.9439430945214573,7
warm_nights,sensitivity_rerun,boot_sd_0.10,kept,boot_mean_0.90,0.42245964117174584,8
warm_nights,sensitivity_rerun,boot_sd_0.50,kept,boot_sd_0.10,0.5125911167555722,9
warm_nights,sensitivity_rerun,boot_sd_0.90,kept,boot_sd_0.50,0.5242334761413238,10
