station_id,station_name,year,warm_days,warm_nights,cool_days,cool_nights,valid_days_tmax,valid_days_tmin,coverage_pct_tmax,coverage_pct_tmin,reference_period_label
19996,Bahookalat,1991,15.0,3.0,51.0,59.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,1992,25.0,9.0,63.0,67.0,365,363,100.0,99.45205479452055,1991_2007
19996,Bahookalat,1993,42.0,20.0,12.0,24.0,364,365,99.72602739726028,100.0,1991_2007
19996,Bahookalat,1994,21.0,20.0,22.0,49.0,364,362,99.72602739726028,99.17808219178083,1991_2007
19996,Bahookalat,1995,19.0,15.0,41.0,38.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,1996,23.0,6.0,43.0,61.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,1997,8.0,23.0,68.0,16.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,1998,44.0,33.0,18.0,6.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,1999,26.0,18.0,40.0,33.0,334,334,91.5068493150685,91.5068493150685,1991_2007
19996,Bahookalat,2000,43.0,15.0,14.0,40.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2001,33.0,37.0,15.0,11.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2002,30.0,24.0,17.0,17.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2003,16.0,39.0,21.0,13.0,360,360,98.63013698630137,98.63013698630137,1991_2007
19996,Bahookalat,2004,43.0,34.0,20.0,8.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2005,18.0,34.0,38.0,16.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2006,44.0,55.0,14.0,13.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2007,27.0,55.0,16.0,21.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2008,29.0,49.0,53.0,39.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2009,37.0,35.0,16.0,15.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2010,40.0,26.0,14.0,37.0,365,365,100.0,100.0,1991_2007
19996,Bahookalat,2011,21.0,62.0,29.0,16.0,364,364,99.72602739726028,99.72602739726028,1991_2007
