year,regional_temperature_anomaly_c,regional_temperature_mean_c,n_stations
1991,-0.4800697717350354,17.39536149339206,115
1992,-1.7496565811020657,16.199116030854643,124
1993,-0.8963851068087179,17.05238750514799,124
1994,-0.11450118279105402,17.834271429165657,124
1995,-0.09717378171319171,17.851598830243514,124
1996,-0.2415282693343271,17.70724434262238,124
1997,-0.23559905413601753,17.713173557820692,124
1998,0.7306000328580334,18.67937264481474,124
1999,0.708972823565425,18.65774543552213,124
2000,0.3761567103906772,18.324929322347387,124
2001,0.9160362188547727,18.864808830811484,124
2002,0.4051670688135744,18.35393968077028,124
2003,0.15285378949939743,18.101626401456105,124
2004,0.3029117806998432,18.251684392656554,124
2005,0.09685495875827264,18.04562757071498,124
2006,0.24457104483467876,18.193343656791388,124
2007,-0.1540544544092299,17.79471815754748,124
2008,-0.0043628683035599695,17.94440974365315,124
2009,0.09793512339177246,18.04670773534848,124
2010,1.2846952880468623,19.23346790000357,124
2011,-0.05999621479300862,17.8887763971637,124
2012,0.02918288747040878,17.977955499427118,124
2013,0.334459099938377,18.283231711895084,124
2014,0.2839739785600134,18.232746590516722,124
2015,0.851501517658083,18.80027412961479,124
2016,0.7348555441379904,18.683628156094702,124
2017,0.7491689029718527,18.69794151492856,124
2018,1.1112491990651991,19.060021811021908,124
2019,0.45104694138959944,18.39981955334631,124
2020,0.12530600745337697,18.074078619410084,124
2021,1.448493332395311,19.39726594435202,124
2022,1.142924019912943,19.091696631869652,124
2023,1.2301898666552398,19.17896247861195,124
2024,0.9621135698356277,18.910886181792335,124
