index_name,tau,n_stations,moran_i,moran_p_perm
cool_days,0.1,124,0.29012659835617055,0.002
cool_nights,0.1,124,-0.010675182586137762,0.858
warm_days,0.1,124,0.25768340422939534,0.002
warm_nights,0.1,124,0.20038090795201136,0.004
cool_days,0.5,124,0.19231936468344155,0.004
cool_nights,0.5,124,0.03942739746918799,0.532
warm_days,0.5,124,-0.02250008099130655,0.73
warm_nights,0.5,124,0.038720094385836415,0.546
cool_days,0.9,124,0.3484704965697537,0.002
cool_nights,0.9,124,0.10846478682438744,0.058
warm_days,0.9,124,0.16640770015542058,0.008
warm_nights,0.9,124,0.11386150709529229,0.056
