index_name,model,tau,slope_per_c,ci_low_per_c,ci_high_per_c,expected_direction
warm_days,OLS,,34.5703778364849,27.87540659064266,41.26534908232715,True
warm_days,QR,0.1,25.09520623673477,,,True
warm_days,QR,0.5,40.40570068616784,31.455492196980323,49.35590917535536,True
warm_days,QR,0.9,29.622159255059273,,,True
warm_nights,OLS,,23.97015957910388,18.751914848789834,29.188404309417923,True
warm_nights,QR,0.1,14.533109168728354,,,True
warm_nights,QR,0.5,25.415056704989148,17.207110680389004,33.62300272958929,True
warm_nights,QR,0.9,22.599235242673025,,,True
cool_days,OLS,,-19.297719438035134,-22.282506026713584,-16.312932849356685,True
cool_days,QR,0.1,-11.803736715077187,,,True
cool_days,QR,0.5,-16.510214517672843,-20.309488485396095,-12.71094054994959,True
cool_days,QR,0.9,-21.031369724311272,,,True
cool_nights,OLS,,-16.114443317459116,-18.88695554294616,-13.34193109197207,True
cool_nights,QR,0.1,-11.201664226317119,,,True
cool_nights,QR,0.5,-14.5142555967963,-17.847746221668178,-11.180764971924424,True
cool_nights,QR,0.9,-19.66014929938935,,,True
